Entry,Entry Name,Gene Names,Protein names,Length,source_query,intended_gene,protac_validated,gene_symbol
Q8NHG8,ZNRF2_HUMAN,ZNRF2 RNF202,E3 ubiquitin-protein ligase ZNRF2 (EC 2.3.2.27) (Protein Ells2) (RING finger protein 202) (RING-type E3 ubiquitin transferase ZNRF2) (Zinc/RING finger protein 2),242,direct_e3,,False,ZNRF2
Q8NHM5,KDM2B_HUMAN,KDM2B CXXC2 FBL10 FBXL10 JHDM1B NDY1 PCCX2,Lysine-specific demethylase 2B (EC 1.14.11.27) (CXXC-type zinc finger protein 2) (F-box and leucine-rich repeat protein 10) (F-box protein FBL10) (F-box/LRR-repeat protein 10) (JmjC domain-containing histone demethylation protein 1B) (Jumonji domain-containing EMSY-interactor methyltransferase motif protein) (Protein JEMMA) (Protein-containing CXXC domain 2) ([Histone-H3]-lysine-36 demethylase 1B),1336,"direct_e3,f_box",,False,KDM2B
Q8NHZ8,CDC26_HUMAN,CDC26 ANAPC12 C9orf17,Anaphase-promoting complex subunit CDC26 (Anaphase-promoting complex subunit 12) (APC12) (Cell division cycle protein 26 homolog),85,direct_e3,,False,CDC26
Q96B49,TOM6_HUMAN,TOMM6 OBTP TOM6,Mitochondrial import receptor subunit TOM6 homolog (Overexpressed breast tumor protein) (Translocase of outer membrane 6 kDa subunit homolog),74,direct_e3,,False,TOMM6
Q8NI29,FBX27_HUMAN,FBXO27 FBG5 FBX27,F-box only protein 27 (F-box/G-domain protein 5),283,"direct_e3,f_box",,False,FBXO27
Q8TB52,FBX30_HUMAN,FBXO30 FBX30,F-box only protein 30,745,"direct_e3,f_box",,False,FBXO30
Q8TBB1,LNX1_HUMAN,LNX1 LNX PDZRN2 UNQ574/PRO1136,E3 ubiquitin-protein ligase LNX (EC 2.3.2.27) (Ligand of Numb-protein X 1) (Numb-binding protein 1) (PDZ domain-containing RING finger protein 2) (RING-type E3 ubiquitin transferase LNX),728,direct_e3,,False,LNX1
Q8TC41,RN217_HUMAN,RNF217 C6orf172 IBRDC1 OSTL,E3 ubiquitin-protein ligase RNF217 (EC 2.3.2.31) (IBR domain-containing protein 1) (Opposite STL) (RING finger protein 217),542,direct_e3,,False,RNF217
Q8TCJ0,FBX25_HUMAN,FBXO25 FBX25,F-box only protein 25,367,"direct_e3,f_box",,False,FBXO25
Q8TCQ1,MARH1_HUMAN,MARCHF1 MARCH1 RNF171,E3 ubiquitin-protein ligase MARCHF1 (EC 2.3.2.27) (Membrane-associated RING finger protein 1) (Membrane-associated RING-CH protein I) (MARCH-I) (RING finger protein 171) (RING-type E3 ubiquitin transferase MARCHF1),289,direct_e3,,False,MARCHF1
Q8TDB6,DTX3L_HUMAN,DTX3L BBAP,E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2) (Rhysin2),740,direct_e3,,False,DTX3L
Q8TEB1,DCA11_HUMAN,DCAF11 WDR23 GL014 PRO2389,DDB1- and CUL4-associated factor 11 (WD repeat-containing protein 23),546,"direct_e3,substrate_adapters",,False,DCAF11
Q8TEB7,RN128_HUMAN,RNF128,E3 ubiquitin-protein ligase RNF128 (EC 2.3.2.27) (Gene related to anergy in lymphocytes protein) (GRAIL) (RING finger protein 128) (RING-type E3 ubiquitin transferase RNF128),428,direct_e3,,False,RNF128
Q8TEC5,SH3R2_HUMAN,SH3RF2 POSH3 POSHER PPP1R39 RNF158,E3 ubiquitin-protein ligase SH3RF2 (EC 2.3.2.27) (Heart protein phosphatase 1-binding protein) (HEPP1) (POSH-eliminating RING protein) (Protein phosphatase 1 regulatory subunit 39) (RING finger protein 158) (RING-type E3 ubiquitin transferase SH3RF2) (SH3 domain-containing RING finger protein 2),729,direct_e3,,False,SH3RF2
Q8TEJ3,SH3R3_HUMAN,SH3RF3 POSH2 SH3MD4,E3 ubiquitin-protein ligase SH3RF3 (EC 2.3.2.27) (Plenty of SH3s 2) (SH3 domain-containing RING finger protein 3) (SH3 multiple domains protein 4),882,direct_e3,,False,SH3RF3
Q8NE65,ZN738_HUMAN,ZNF738,Zinc finger protein 738,375,direct_e3,,False,ZNF738
Q8ND25,ZNRF1_HUMAN,ZNRF1 NIN283,E3 ubiquitin-protein ligase ZNRF1 (EC 2.3.2.27) (Nerve injury-induced gene 283 protein) (RING-type E3 ubiquitin transferase ZNRF1) (Zinc/RING finger protein 1),227,direct_e3,,False,ZNRF1
Q8ND24,RN214_HUMAN,RNF214,RING finger protein 214,703,direct_e3,,False,RNF214
Q8NCT1,ARRD4_HUMAN,ARRDC4,Arrestin domain-containing protein 4,418,substrate_adapters,,False,ARRDC4
Q8N6D2,RN182_HUMAN,RNF182,E3 ubiquitin-protein ligase RNF182 (EC 2.3.2.27) (RING finger protein 182) (RING-type E3 ubiquitin transferase RNF182),247,direct_e3,,False,RNF182
Q8N726,ARF_HUMAN,CDKN2A CDKN2 MLM,Tumor suppressor ARF (Alternative reading frame) (ARF) (Cyclin-dependent kinase inhibitor 2A) (p14ARF),132,direct_e3,,False,CDKN2A
Q8N7A1,KLDC1_HUMAN,KLHDC1 MSTP025,Kelch domain-containing protein 1,406,"direct_e3,substrate_adapters",,False,KLHDC1
Q8N7C3,TRIMM_HUMAN,TRIML2 SPRYD6,Probable E3 ubiquitin-protein ligase TRIML2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIML2) (SPRY domain-containing protein 6) (Tripartite motif family-like protein 2),437,direct_e3,,False,TRIML2
Q8N7C7,RN148_HUMAN,RNF148,RING finger protein 148,305,direct_e3,,False,RNF148
Q8N7E2,CBLL2_HUMAN,CBLL2 ZNF645,E3 ubiquitin-protein ligase CBLL2 (EC 2.3.2.27) (Cbl proto-oncogene-like protein 2) (RING-type E3 ubiquitin transferase ZNF645) (Zinc finger protein 645) (c-Cbl-like protein 2),425,direct_e3,,False,CBLL2
Q8N7H5,PAF1_HUMAN,PAF1 PD2,RNA polymerase II-associated factor 1 homolog (hPAF1) (Pancreatic differentiation protein 2),531,direct_e3,,False,PAF1
Q8N806,UBR7_HUMAN,UBR7 C14orf130,Putative E3 ubiquitin-protein ligase UBR7 (EC 2.3.2.27) (N-recognin-7) (RING-type E3 ubiquitin transferase UBR7),425,direct_e3,,False,UBR7
Q8N8N0,RN152_HUMAN,RNF152,E3 ubiquitin-protein ligase RNF152 (EC 2.3.2.27) (RING finger protein 152) (RING-type E3 ubiquitin transferase RNF152),203,direct_e3,,False,RNF152
Q8N961,ABTB2_HUMAN,ABTB2,Ankyrin repeat and BTB/POZ domain-containing protein 2,1025,btb_socs,,False,ABTB2
Q8N9I9,DTX3_HUMAN,DTX3 RNF154,E3 ubiquitin-protein ligase DTX3 (EC 2.3.2.27) (Protein deltex-3) (Deltex3) (RING finger protein 154) (RING-type E3 ubiquitin transferase DTX3),347,direct_e3,,False,DTX3
Q8N9V2,TRIML_HUMAN,TRIML1 RNF209,Probable E3 ubiquitin-protein ligase TRIML1 (EC 2.3.2.27) (RING finger protein 209) (RING-type E3 ubiquitin transferase TRIML1) (Tripartite motif family-like protein 1),468,direct_e3,,False,TRIML1
Q8N9V3,WSDU1_HUMAN,WDSUB1 WDSAM1,"WD repeat, SAM and U-box domain-containing protein 1",476,direct_e3,,False,WDSUB1
Q8NA82,MARHA_HUMAN,MARCHF10 MARCH10 RNF190,Probable E3 ubiquitin-protein ligase MARCHF10 (EC 2.3.2.27) (Membrane-associated RING finger protein 10) (Membrane-associated RING-CH protein X) (MARCH-X) (RING finger protein 190) (RING-type E3 ubiquitin transferase MARCHF10),808,direct_e3,,False,MARCHF10
Q8NAA5,LR75A_HUMAN,LRRC75A C17orf76 FAM211A,Leucine-rich repeat-containing protein 75A (Leucine-rich repeat-containing protein FAM211A),344,substrate_adapters,,False,LRRC75A
Q8NAB2,KBTB3_HUMAN,KBTBD3 BKLHD3,Kelch repeat and BTB domain-containing protein 3 (BTB and kelch domain-containing protein 3),612,substrate_adapters,,False,KBTBD3
Q8NBE8,KLH23_HUMAN,KLHL23,Kelch-like protein 23,558,substrate_adapters,,False,KLHL23
Q8NBM4,UBAC2_HUMAN,UBAC2 PHGDHL1 PSEC0110,Ubiquitin-associated domain-containing protein 2 (UBA domain-containing protein 2) (Phosphoglycerate dehydrogenase-like protein 1),344,direct_e3,,False,UBAC2
Q8NC42,RN149_HUMAN,RNF149 DNAPTP2,E3 ubiquitin-protein ligase RNF149 (EC 2.3.2.27) (DNA polymerase-transactivated protein 2) (RING finger protein 149) (RING-type E3 ubiquitin transferase RNF149),400,direct_e3,,False,RNF149
Q8NC69,KCTD6_HUMAN,KCTD6,BTB/POZ domain-containing protein KCTD6 (KCASH3 protein) (Potassium channel tetramerization domain-containing protein 6),237,"btb_socs,direct_e3",,False,KCTD6
Q8NCN4,RN169_HUMAN,RNF169 KIAA1991,E3 ubiquitin-protein ligase RNF169 (EC 2.3.2.27) (RING finger protein 169) (RING-type E3 ubiquitin transferase RNF169),708,direct_e3,,False,RNF169
Q8NCP5,ZBT44_HUMAN,ZBTB44 BTBD15 ZNF851,Zinc finger and BTB domain-containing protein 44 (BTB/POZ domain-containing protein 15) (Zinc finger protein 851),570,btb_socs,,False,ZBTB44
Q8NCQ5,FBX15_HUMAN,FBXO15 FBX15,F-box only protein 15,510,"direct_e3,f_box",,False,FBXO15
Q8TEL6,TP4AP_HUMAN,TRPC4AP C20orf188 TRRP4AP,Short transient receptor potential channel 4-associated protein (Trp4-associated protein) (Trpc4-associated protein) (Protein TAP1) (TNF-receptor ubiquitous scaffolding/signaling protein) (Protein TRUSS),797,"direct_e3,substrate_adapters",,False,TRPC4AP
Q8TF61,FBX41_HUMAN,FBXO41 FBX41 KIAA1940,F-box only protein 41,875,"direct_e3,f_box",,False,FBXO41
Q8WU17,RN139_HUMAN,RNF139 TRC8,E3 ubiquitin-protein ligase RNF139 (EC 2.3.2.27) (RING finger protein 139) (RING-type E3 ubiquitin transferase RNF139) (Translocation in renal carcinoma on chromosome 8 protein),664,direct_e3,,False,RNF139
Q92466,DDB2_HUMAN,DDB2,DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2),427,"direct_e3,substrate_adapters",,False,DDB2
Q92564,DCNL4_HUMAN,DCUN1D4 KIAA0276,DCN1-like protein 4 (DCNL4) (DCUN1 domain-containing protein 4) (Defective in cullin neddylation protein 1-like protein 4),292,direct_e3,,False,DCUN1D4
Q92574,TSC1_HUMAN,TSC1 KIAA0243 TSC,Hamartin (Tuberous sclerosis 1 protein),1164,direct_e3,,False,TSC1
Q92624,APBP2_HUMAN,APPBP2 KIAA0228 PAT1,Amyloid protein-binding protein 2 (Amyloid beta precursor protein-binding protein 2) (APP-BP2) (Protein interacting with APP tail 1),585,"direct_e3,substrate_adapters",,False,APPBP2
Q92630,DYRK2_HUMAN,DYRK2,Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1),601,direct_e3,,False,DYRK2
Q92834,RPGR_HUMAN,RPGR RP3 XLRP3,X-linked retinitis pigmentosa GTPase regulator,1020,direct_e3,,False,RPGR
Q92990,GLMN_HUMAN,GLMN FAP48 FAP68 VMGLOM,Glomulin (FK506-binding protein-associated protein) (FAP) (FKBP-associated protein),594,direct_e3,,False,GLMN
Q93008,USP9X_HUMAN,USP9X DFFRX FAM USP9,"Ubiquitin carboxyl-terminal hydrolase 9X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets in mammals) (hFAM) (Fat facets protein-related, X-linked) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)",2554,direct_e3,,False,USP9X
Q93034,CUL5_HUMAN,CUL5 VACM1,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),780,direct_e3,,False,CUL5
Q93074,MED12_HUMAN,MED12 ARC240 CAGH45 HOPA KIAA0192 TNRC11 TRAP230,Mediator of RNA polymerase II transcription subunit 12 (Activator-recruited cofactor 240 kDa component) (ARC240) (CAG repeat protein 45) (Mediator complex subunit 12) (OPA-containing protein) (Thyroid hormone receptor-associated protein complex 230 kDa component) (Trap230) (Trinucleotide repeat-containing gene 11 protein),2177,direct_e3,,False,MED12
Q969H0,FBXW7_HUMAN,FBXW7 FBW7 FBX30 SEL10,F-box/WD repeat-containing protein 7 (Archipelago homolog) (hAgo) (F-box and WD-40 domain-containing protein 7) (F-box protein FBX30) (SEL-10) (hCdc4),707,"direct_e3,f_box,substrate_adapters",,False,FBXW7
Q969K3,RNF34_HUMAN,RNF34,E3 ubiquitin-protein ligase RNF34 (EC 2.3.2.27) (Caspase regulator CARP1) (Caspases-8 and -10-associated RING finger protein 1) (CARP-1) (FYVE-RING finger protein Momo) (Human RING finger homologous to inhibitor of apoptosis protein) (hRFI) (RING finger protein 34) (RING finger protein RIFF) (RING-type E3 ubiquitin transferase RNF34),372,direct_e3,,False,RNF34
Q969K4,ABTB1_HUMAN,ABTB1 BPOZ PP2259,Ankyrin repeat and BTB/POZ domain-containing protein 1 (Elongation factor 1A-binding protein),478,btb_socs,,False,ABTB1
Q969M7,UBE2F_HUMAN,UBE2F NCE2,NEDD8-conjugating enzyme UBE2F (EC 2.3.2.34) (NEDD8 carrier protein UBE2F) (NEDD8 protein ligase UBE2F) (NEDD8-conjugating enzyme 2) (RING-type E3 NEDD8 transferase UBE2F) (Ubiquitin-conjugating enzyme E2 F),185,direct_e3,,False,UBE2F
Q969P5,FBX32_HUMAN,FBXO32,F-box only protein 32 (Atrogin-1) (Muscle atrophy F-box protein) (MAFbx),355,"direct_e3,f_box,substrate_adapters",,False,FBXO32
Q969Q1,TRI63_HUMAN,TRIM63 IRF MURF1 RNF28 SMRZ,E3 ubiquitin-protein ligase TRIM63 (EC 2.3.2.27) (Iris RING finger protein) (Muscle-specific RING finger protein 1) (MuRF-1) (MuRF1) (RING finger protein 28) (RING-type E3 ubiquitin transferase TRIM63) (Striated muscle RING zinc finger protein) (Tripartite motif-containing protein 63),353,direct_e3,,False,TRIM63
Q969T4,UB2E3_HUMAN,UBE2E3 UBCE4 UBCH9,Ubiquitin-conjugating enzyme E2 E3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme E3) (UbcH9) (Ubiquitin carrier protein E3) (Ubiquitin-conjugating enzyme E2-23 kDa) (Ubiquitin-protein ligase E3),207,direct_e3,,False,UBE2E3
Q969U6,FBXW5_HUMAN,FBXW5 FBW5 PP3971,F-box/WD repeat-containing protein 5 (F-box and WD-40 domain-containing protein 5),566,"direct_e3,f_box,substrate_adapters",,False,FBXW5
Q969V5,MUL1_HUMAN,MUL1 C1orf166 GIDE MAPL MULAN RNF218,Mitochondrial ubiquitin ligase activator of NFKB 1 (EC 2.3.2.27) (E3 SUMO-protein ligase MUL1) (E3 ubiquitin-protein ligase MUL1) (Growth inhibition and death E3 ligase) (Mitochondrial-anchored protein ligase) (Protein Hades) (Putative NF-kappa-B-activating protein 266) (RING finger protein 218) (RING-type E3 ubiquitin transferase NFKB 1),352,direct_e3,,False,MUL1
Q96A44,SPSB4_HUMAN,SPSB4 SSB4,SPRY domain-containing SOCS box protein 4 (SSB-4),273,"btb_socs,direct_e3,substrate_adapters",,False,SPSB4
Q96A61,TRI52_HUMAN,TRIM52 RNF102,E3 ubiquitin-protein ligase TRIM52 (EC 2.3.2.27) (RING finger protein 102) (Tripartite motif-containing protein 52),297,direct_e3,,False,TRIM52
Q96AX9,MIB2_HUMAN,MIB2 SKD ZZANK1,E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (Novel zinc finger protein) (Novelzin) (Putative NF-kappa-B-activating protein 002N) (RING-type E3 ubiquitin transferase MIB2) (Skeletrophin) (Zinc finger ZZ type with ankyrin repeat domain protein 1),955,direct_e3,,False,MIB2
Q96B02,UBE2W_HUMAN,UBE2W UBC16,Ubiquitin-conjugating enzyme E2 W (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme W) (N-terminal E2 ubiquitin-conjugating enzyme) (EC 2.3.2.25) (N-terminus-conjugating E2) (Ubiquitin carrier protein W) (Ubiquitin-conjugating enzyme 16) (UBC-16) (Ubiquitin-protein ligase W),151,direct_e3,,False,UBE2W
Q96B23,ARK2N_HUMAN,ARK2N ARKL1 C18orf25,Protein ARK2N (ARKadia-like protein 1) (Arkadia (RNF111) N-terminal like PKA signaling regulator protein 2N),404,direct_e3,,False,ARK2N
Q92541,RTF1_HUMAN,RTF1 KIAA0252,RNA polymerase-associated protein RTF1 homolog,710,direct_e3,,False,RTF1
Q8WZ73,RFFL_HUMAN,RFFL RNF189 RNF34L,E3 ubiquitin-protein ligase rififylin (EC 2.3.2.27) (Caspase regulator CARP2) (Caspases-8 and -10-associated RING finger protein 2) (CARP-2) (FYVE-RING finger protein Sakura) (Fring) (RING finger and FYVE-like domain-containing protein 1) (RING finger protein 189) (RING finger protein 34-like) (RING-type E3 ubiquitin transferase rififylin),363,direct_e3,,False,RFFL
Q8WUJ0,STYX_HUMAN,STYX,Serine/threonine/tyrosine-interacting protein (Inactive tyrosine-protein phosphatase STYX) (Phosphoserine/threonine/tyrosine interaction protein),223,direct_e3,,False,STYX
Q8WZ60,KLHL6_HUMAN,KLHL6,Kelch-like protein 6,621,substrate_adapters,,False,KLHL6
Q8WV16,DCAF4_HUMAN,DCAF4 WDR21 WDR21A,DDB1- and CUL4-associated factor 4 (WD repeat-containing protein 21A),495,"direct_e3,substrate_adapters",,False,DCAF4
Q8WV22,NSE1_HUMAN,NSMCE1 HSPC333 HSPC337,Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog) (EC 2.3.2.27),266,direct_e3,,False,NSMCE1
Q8WV44,TRI41_HUMAN,TRIM41 RINCK,E3 ubiquitin-protein ligase TRIM41 (EC 2.3.2.27) (RING finger-interacting protein with C kinase) (RINCK) (Tripartite motif-containing protein 41),630,direct_e3,,False,TRIM41
Q8WVC0,LEO1_HUMAN,LEO1 RDL,RNA polymerase-associated protein LEO1 (Replicative senescence down-regulated leo1-like protein),666,direct_e3,,False,LEO1
Q8WVD3,RN138_HUMAN,RNF138 NARF HSD-4 HSD4,E3 ubiquitin-protein ligase RNF138 (EC 2.3.2.27) (Nemo-like kinase-associated RING finger protein) (NLK-associated RING finger protein) (hNARF) (RING finger protein 138) (RING-type E3 ubiquitin transferase RNF138),245,direct_e3,,False,RNF138
Q8WVD5,RN141_HUMAN,RNF141 ZNF230,RING finger protein 141 (Zinc finger protein 230),230,direct_e3,,False,RNF141
Q8WVF5,KCTD4_HUMAN,KCTD4,BTB/POZ domain-containing protein KCTD4,259,btb_socs,,False,KCTD4
Q8WVN8,UB2Q2_HUMAN,UBE2Q2,Ubiquitin-conjugating enzyme E2 Q2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme Q2) (Ubiquitin carrier protein Q2) (Ubiquitin-protein ligase Q2),375,direct_e3,,False,UBE2Q2
Q8WVZ7,RN133_HUMAN,RNF133,E3 ubiquitin-protein ligase RNF133 (EC 2.3.2.27) (RING finger protein 133) (RING-type E3 ubiquitin transferase RNF133),376,direct_e3,,False,RNF133
Q8WVZ9,KBTB7_HUMAN,KBTBD7,Kelch repeat and BTB domain-containing protein 7,684,"direct_e3,substrate_adapters",,False,KBTBD7
Q8WWF5,ZNRF4_HUMAN,ZNRF4 RNF204,E3 ubiquitin-protein ligase ZNRF4 (EC 2.3.2.27) (Nixin) (RING finger protein 204) (RING-type E3 ubiquitin transferase ZNRF4) (Zinc/RING finger protein 4),429,direct_e3,,False,ZNRF4
Q8WWI1,LMO7_HUMAN,LMO7 FBX20 FBXO20 KIAA0858,LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP),1683,"direct_e3,f_box",,False,LMO7
Q8WWX0,ASB5_HUMAN,ASB5,Ankyrin repeat and SOCS box protein 5 (ASB-5),329,"btb_socs,direct_e3",,False,ASB5
Q8WXH4,ASB11_HUMAN,ASB11,Ankyrin repeat and SOCS box protein 11 (ASB-11),323,"btb_socs,direct_e3,substrate_adapters",,False,ASB11
Q8WXH5,SOCS4_HUMAN,SOCS4 SOCS7,Suppressor of cytokine signaling 4 (SOCS-4) (Suppressor of cytokine signaling 7) (SOCS-7),440,direct_e3,,False,SOCS4
Q8WXH6,RB40A_HUMAN,RAB40A,Ras-related protein Rab-40A (EC 3.6.5.2) (SOCS box-containing protein RAR2A) (Protein Rar-2),277,"btb_socs,direct_e3,substrate_adapters",,False,RAB40A
Q8WXI3,ASB10_HUMAN,ASB10,Ankyrin repeat and SOCS box protein 10 (ASB-10),467,"btb_socs,direct_e3",,False,ASB10
Q8WXJ9,ASB17_HUMAN,ASB17,Ankyrin repeat and SOCS box protein 17 (ASB-17),295,"btb_socs,direct_e3",,False,ASB17
Q8WXK1,ASB15_HUMAN,ASB15,Ankyrin repeat and SOCS box protein 15 (ASB-15),588,"btb_socs,direct_e3",,False,ASB15
Q8WXK3,ASB13_HUMAN,ASB13,Ankyrin repeat and SOCS box protein 13 (ASB-13),278,"btb_socs,direct_e3",,False,ASB13
Q8WXK4,ASB12_HUMAN,ASB12,Ankyrin repeat and SOCS box protein 12 (ASB-12),309,"btb_socs,direct_e3",,False,ASB12
Q8WY64,MYLIP_HUMAN,MYLIP BZF1 IDOL BM-023 PP5242,E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP),445,direct_e3,,False,MYLIP
Q8WZ19,BACD1_HUMAN,KCTD13 BACURD1 PDIP1 POLDIP1 FKSG86 PP6832,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1 (hBACURD1) (BTB/POZ domain-containing protein KCTD13) (Polymerase delta-interacting protein 1) (TNFAIP1-like protein),329,"btb_socs,direct_e3",,False,KCTD13
Q9BWX1,PHF7_HUMAN,PHF7,E3 ubiquitin-protein ligase PHF7 (EC 2.3.2.27) (PHD finger protein 7) (Testis development protein NYD-SP6),381,direct_e3,,False,PHF7
Q9BZY9,TRI31_HUMAN,TRIM31 C6orf13 RNF,E3 ubiquitin-protein ligase TRIM31 (EC 2.3.2.27) (Tripartite motif-containing protein 31),425,direct_e3,,False,TRIM31
Q9BX70,BTBD2_HUMAN,BTBD2,BTB/POZ domain-containing protein 2,525,btb_socs,,False,BTBD2
Q9UKC9,FBXL2_HUMAN,FBXL2 FBL2 FBL3,F-box/LRR-repeat protein 2 (F-box and leucine-rich repeat protein 2) (F-box protein FBL2/FBL3),423,"direct_e3,f_box,substrate_adapters",,False,FBXL2
Q9UDY6,TRI10_HUMAN,TRIM10 RFB30 RNF9,Tripartite motif-containing protein 10 (B30-RING finger protein) (RING finger protein 9),481,direct_e3,,False,TRIM10
Q9UDY8,MALT1_HUMAN,MALT1 MLT,Mucosa-associated lymphoid tissue lymphoma translocation protein 1 (EC 3.4.22.-) (MALT lymphoma-associated translocation) (Paracaspase),824,direct_e3,,False,MALT1
Q9UF56,FXL17_HUMAN,FBXL17 FBL17 FBX13 FBXO13,F-box/LRR-repeat protein 17 (F-box and leucine-rich repeat protein 17) (F-box only protein 13),701,"direct_e3,f_box",,False,FBXL17
Q9UH77,KLHL3_HUMAN,KLHL3 KIAA1129,Kelch-like protein 3,587,"direct_e3,substrate_adapters",,False,KLHL3
Q9UH90,FBX40_HUMAN,FBXO40 FBX40 KIAA1195,F-box only protein 40 (Muscle disease-related protein),709,"direct_e3,f_box",,False,FBXO40
Q9UHC7,MKRN1_HUMAN,MKRN1 RNF61,E3 ubiquitin-protein ligase makorin-1 (EC 2.3.2.27) (RING finger protein 61) (RING-type E3 ubiquitin transferase makorin-1),482,direct_e3,,False,MKRN1
Q9UII4,HERC5_HUMAN,HERC5 CEB1 CEBP1,E3 ISG15--protein ligase HERC5 (EC 2.3.2.-) (Cyclin-E-binding protein 1) (HECT domain and RCC1-like domain-containing protein 5),1024,direct_e3,,False,HERC5
Q9UJ41,RABX5_HUMAN,RABGEF1 RABEX5,Rab5 GDP/GTP exchange factor (RAP1) (Rabaptin-5-associated exchange factor for Rab5) (Rabex-5),491,direct_e3,,False,RABGEF1
Q9UJ55,MAGL2_HUMAN,MAGEL2 NDNL1,MAGE-like protein 2 (Necdin-like protein 1) (Protein nM15),1249,direct_e3,,False,MAGEL2
Q9UJP4,KLH21_HUMAN,KLHL21 KIAA0469,Kelch-like protein 21,597,"direct_e3,substrate_adapters",,False,KLHL21
Q9UJT9,FBXL7_HUMAN,FBXL7 FBL6 FBL7 KIAA0840,F-box/LRR-repeat protein 7 (F-box and leucine-rich repeat protein 7) (F-box protein FBL6/FBL7),491,"direct_e3,f_box",,False,FBXL7
Q9UJV3,TRIM1_HUMAN,MID2 FXY2 RNF60 TRIM1,Probable E3 ubiquitin-protein ligase MID2 (EC 2.3.2.27) (Midin-2) (Midline defect 2) (Midline-2) (RING finger protein 60) (RING-type E3 ubiquitin transferase MID2) (Tripartite motif-containing protein 1),735,direct_e3,,False,MID2
Q9UJX2,CDC23_HUMAN,CDC23 ANAPC8,Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8),597,direct_e3,,False,CDC23
Q9UJX3,APC7_HUMAN,ANAPC7 APC7,Anaphase-promoting complex subunit 7 (APC7) (Cyclosome subunit 7),565,direct_e3,,False,ANAPC7
Q9UJX4,APC5_HUMAN,ANAPC5 APC5,Anaphase-promoting complex subunit 5 (APC5) (Cyclosome subunit 5),755,direct_e3,,False,ANAPC5
Q9UJX5,APC4_HUMAN,ANAPC4 APC4,Anaphase-promoting complex subunit 4 (APC4) (Cyclosome subunit 4),808,direct_e3,,False,ANAPC4
Q9UJX6,ANC2_HUMAN,ANAPC2 APC2 KIAA1406,Anaphase-promoting complex subunit 2 (APC2) (Cyclosome subunit 2),822,direct_e3,,False,ANAPC2
Q9UK22,FBX2_HUMAN,FBXO2 FBX2,F-box only protein 2,296,"direct_e3,f_box",,False,FBXO2
Q9UK96,FBX10_HUMAN,FBXO10 FBX10 PRMT11,F-box only protein 10,956,"direct_e3,f_box",,False,FBXO10
Q9UK97,FBX9_HUMAN,FBXO9 FBX9 VCIA1,F-box only protein 9 (Cross-immune reaction antigen 1) (Renal carcinoma antigen NY-REN-57),447,"direct_e3,f_box,substrate_adapters",,False,FBXO9
Q9UK99,FBX3_HUMAN,FBXO3 FBX3,F-box only protein 3,471,"direct_e3,f_box,substrate_adapters",,False,FBXO3
Q9UKA1,FBXL5_HUMAN,FBXL5 FBL4 FBL5 FLR1,F-box/LRR-repeat protein 5 (F-box and leucine-rich repeat protein 5) (F-box protein FBL4/FBL5) (p45SKP2-like protein),691,"direct_e3,f_box",,False,FBXL5
Q9UKA2,FBXL4_HUMAN,FBXL4 FBL4 FBL5,F-box/LRR-repeat protein 4 (F-box and leucine-rich repeat protein 4) (F-box protein FBL4/FBL5),621,"f_box,substrate_adapters",,False,FBXL4
Q9UBV8,PEF1_HUMAN,PEF1 ABP32 UNQ1845/PRO3573,Peflin (PEF protein with a long N-terminal hydrophobic domain) (Penta-EF hand domain-containing protein 1),284,substrate_adapters,,False,PEF1
Q9UBS8,RNF14_HUMAN,RNF14 ARA54 HRIHFB2038,E3 ubiquitin-protein ligase RNF14 (EC 2.3.2.31) (Androgen receptor-associated protein 54) (HFB30) (RING finger protein 14),474,direct_e3,,False,RNF14
